
blue is used for chat gpt urls,Title,Corrected Title,LinkedIn and Twitter,Med,Date,Status,NOTES,THC,CBD,INV,TYPE,Reviewed Articles,LinksFound,image,domain,Things missed,Stuff added to snoved document

https://hightimes.com/culture/high-times-greats-john-sinclair/,High Times Greats: John Sinclair,,,,,Later,Cool finds,,,,WEED,y,0,#N/A,,,
https://cannabisnow.com/thcv-the-cannabinoid-that-can-help-with-weight-loss/,THCV: The Cannabinoid That Can Help With Weight Loss,,,,,Later,Cool finds,,,,WEED,y,0,#N/A,,,
https://www.projectcbd.org/science/cbda-raw-story,CBDA—THE RAW STORY,,,,,Later,Cool finds,,,,hemp,y,0,#N/A,,,
https://canex.co.uk/cannabis-use-in-the-ancient-world-ancient-india/,Cannabis Use in the Ancient World: Ancient India,,,,,Later,Cool finds,,,,,y,0,#N/A,,,
https://hightimes.com/news/newly-published-study-further-discredits-theory-cannabis-gateway-drug/,Newly Published Study Further Discredits Theory That Cannabis Is A Gateway Drug,,,,,Later,Cool finds,,,,WEED,J,1,#N/A,,,
https://www.thegrowthop.com/cannabis-news/what-are-the-weirdest-weed-names-from-1920-to-1975,What Are the Weirdest Cannabis Names From 1920 to 1975?,,,,,Later,"Cool finds
https://www.greenstate.com/explained/from-muggles-to-rainy-day-woman-this-is-the-weirdest-cannabis-slang-from-1920-to-1975/",,,,WEED,x,0,#N/A,,,
https://thejointblog.com/4-ways-to-enhance-your-beauty-with-cbd/,4 Ways To Enhance Your Beauty With CBD,,,,,Later,Cool finds,,,,HEMP,y,0,#N/A,,,
,,,,,,,,,,,,,,,,,
https://www.thegrowthop.com/wellness/seven-ways-to-add-cbd-to-your-wellness-routine,Seven ways to add CBD to your wellness routine,,,,,Later,Cool finds,,,,HEMP,y,0,#N/A,,,
https://ministryofhemp.com/blog/cbn-cannabinol/,CBN: What Is Cannabinol (CBN) & Why Is It Getting So Much Attention?,,,,,Later,Cool finds,,,,HEMP,y,0,#N/A,,,
https://www.times-standard.com/2021/03/21/hulus-sasquatch-series-features-humboldt-county-cannabis-bigfoot/,"Hulu’s ‘Sasquatch’ series features Humboldt County, cannabis, Bigfoot ",,,,,Later,Cool finds,,,,,y,0,#N/A,,,
https://www.nerdwallet.com/article/insurance/life-insurance-Cannabis,Smoke Cannabis and Need Life Insurance? Some Companies Are Cool With Cannabis,,,,,Later,Cool finds,,,,WEED,x,0,#N/A,,,
https://www.thegrowthop.com/cannabis-news/secret-histories-of-drugs-legal-and-illegal-in-southern-africa,Secret histories of drugs — legal and illegal — in southern Africa,,,,,Later,Cool finds,,,,WEED,y,0,#N/A,,,
